Date ;0.08-Yrs ;0.25-Yrs ;0.50-Yrs ;1.00-Yrs ;2.00-Yrs ;3.00-Yrs ;4.00-Yrs ;5.00-Yrs ;6.00-Yrs ;7.00-Yrs ;8.00-Yrs ;9.00-Yrs ;10.00-Yrs ;11.00-Yrs ;12.00-Yrs ;13.00-Yrs ;14.00-Yrs ;15.00-Yrs ;16.00-Yrs ;17.00-Yrs ;18.00-Yrs ;19.00-Yrs ;20.00-Yrs ;21.00-Yrs ;22.00-Yrs ;23.00-Yrs ;24.00-Yrs ;25.00-Yrs ;26.00-Yrs ;27.00-Yrs ;28.00-Yrs ;29.00-Yrs ;30.00-Yrs ;31.00-Yrs ;32.00-Yrs ;33.00-Yrs ;34.00-Yrs ;35.00-Yrs ;36.00-Yrs ;37.00-Yrs ;38.00-Yrs ;39.00-Yrs ;40.00-Yrs ;41.00-Yrs ;42.00-Yrs ;43.00-Yrs ;44.00-Yrs ;45.00-Yrs ;46.00-Yrs ;47.00-Yrs ;48.00-Yrs ;49.00-Yrs ;50.00-Yrs
2025-09-02;1.321412;1.321070;1.305811;1.270792;1.100329;1.106174;1.108540;1.126932;1.164277;1.203307;1.223647;1.248547;1.272076;1.313163;1.366731;1.448650;1.441993;1.455556;1.550000;1.638667;1.694273;1.710085;1.736834;1.798048;1.818395;1.838743;1.856177;1.861545;1.866913;1.872109;1.876580;1.881051;1.889451;1.914412;1.939374;1.964335;1.989297;2.014258;2.034521;2.034263;2.034006;2.033748;2.033490;2.034489;2.039925;2.040233;2.040541;2.040850;2.041158;;;;
2025-09-01;1.323274;1.322191;1.306202;1.273979;1.124059;1.122586;1.125012;1.144444;1.180671;1.225312;1.239871;1.266952;1.293008;1.332255;1.388083;1.469039;1.467723;1.484039;1.572110;1.655952;1.712098;1.725552;1.749195;1.806181;1.826533;1.846885;1.864443;1.870227;1.876012;1.881544;1.885996;1.890447;1.898671;1.923078;1.947484;1.971891;1.996298;2.020704;2.040590;2.040367;2.040145;2.039923;2.039700;2.040776;2.046706;2.047978;2.049249;2.050521;2.051793;;;;
2025-08-29;1.326955;1.327265;1.307722;1.278970;1.149299;1.148709;1.153431;1.166475;1.196592;1.249807;1.271222;1.296589;1.315053;1.352560;1.404018;1.484103;1.486496;1.504205;1.587617;1.670473;1.738705;1.754474;1.777145;1.824406;1.847375;1.870345;1.889527;1.891862;1.894197;1.896483;1.898547;1.900610;1.906920;1.932468;1.958017;1.983566;2.009114;2.034663;2.055556;2.054555;2.053555;2.052554;2.051553;2.051383;2.054771;2.056134;2.057497;2.058860;2.060223;;;;
2025-08-28;1.324787;1.325476;1.307700;1.279588;1.143253;1.146429;1.153190;1.165501;1.197236;1.250497;1.267549;1.292564;1.312192;1.348479;1.399992;1.481454;1.483920;1.501558;1.585465;1.669162;1.739237;1.753828;1.775909;1.825400;1.848628;1.871856;1.891333;1.893813;1.896294;1.898740;1.901025;1.903311;1.909678;1.934888;1.960097;1.985306;2.010516;2.035725;2.056463;2.055767;2.055071;2.054375;2.053679;2.053564;2.056043;2.057321;2.058599;2.059877;2.061154;;;;
2025-08-27;1.323429;1.325300;1.306452;1.280232;1.145845;1.149393;1.157423;1.167349;1.198304;1.254112;1.273449;1.299603;1.324903;1.364393;1.412040;1.489147;1.490534;1.506811;1.589311;1.671719;1.741080;1.754229;1.774987;1.824910;1.850796;1.876682;1.898471;1.901350;1.904229;1.906519;1.906036;1.905554;1.909597;1.934922;1.960247;1.985573;2.010898;2.036224;2.057134;2.056468;2.055802;2.055135;2.054469;2.054502;2.057569;2.058380;2.059191;2.060002;2.060813;;;;
2025-08-26;1.318429;1.320603;1.304941;1.277769;1.134477;1.139508;1.145324;1.159454;1.188869;1.245299;1.263608;1.291796;1.322049;1.357104;1.398107;1.478766;1.479445;1.494466;1.574466;1.654516;1.722597;1.735424;1.757380;1.814832;1.841664;1.868496;1.891506;1.896539;1.901572;1.904959;1.900454;1.895950;1.896763;1.923073;1.949383;1.975693;2.002003;2.028313;2.050059;2.049060;2.048061;2.047061;2.046062;2.046159;2.050756;2.049873;2.048990;2.048107;2.047224;;;;
2025-08-25;1.308587;1.311593;1.302374;1.268761;1.132891;1.138753;1.140983;1.154117;1.186449;1.247204;1.265528;1.300545;1.322523;1.354617;1.393888;1.478179;1.480398;1.496271;1.575160;1.654016;1.720927;1.733410;1.754257;1.808535;1.835032;1.861529;1.885034;1.894196;1.903358;1.910730;1.909351;1.907972;1.911048;1.935893;1.960739;1.985584;2.010430;2.035276;2.055741;2.053943;2.052144;2.050346;2.048547;2.048183;2.053763;2.051610;2.049457;2.047303;2.045150;;;;
2025-08-22;1.309064;1.310700;1.304199;1.271471;1.138317;1.143059;1.147828;1.160851;1.194939;1.259841;1.287631;1.327382;1.349312;1.379373;1.424471;1.506971;1.515169;1.533821;1.603555;1.676156;1.750859;1.767364;1.790352;1.840079;1.862082;1.884084;1.903979;1.913160;1.922342;1.929737;1.927864;1.925992;1.928418;1.953136;1.977854;2.002572;2.027290;2.052008;2.072613;2.070991;2.069370;2.067749;2.066128;2.065126;2.066898;2.065132;2.063367;2.061602;2.059837;;;;
2025-08-21;1.309189;1.307167;1.301894;1.271726;1.143732;1.148586;1.158263;1.172762;1.202311;1.273812;1.303434;1.344540;1.361363;1.397040;1.452239;1.518212;1.528887;1.551157;1.631212;1.711167;1.780084;1.796516;1.821322;1.880555;1.898407;1.916259;1.932255;1.938625;1.944995;1.950059;1.948210;1.946361;1.948588;1.972398;1.996207;2.020016;2.043825;2.067634;2.087637;2.086640;2.085642;2.084645;2.083647;2.083058;2.084714;2.086033;2.087352;2.088671;2.089991;;;;
2025-08-20;1.308792;1.305219;1.300427;1.271290;1.137801;1.139787;1.147956;1.158291;1.192723;1.262847;1.286978;1.328203;1.351039;1.388279;1.440880;1.511102;1.517765;1.535909;1.612409;1.691819;1.773960;1.794773;1.822339;1.877725;1.895783;1.913841;1.929853;1.935041;1.940228;1.944867;1.946545;1.948222;1.953251;1.976386;1.999520;2.022655;2.045790;2.068924;2.088484;2.087892;2.087301;2.086709;2.086118;2.086356;2.090765;2.091650;2.092535;2.093421;2.094306;;;;
