Name;Abb;License;Year;Total Office;Phnom Penh Office;Provincial Office;ATM terminals;POS;Debit Cards;Credit Cards;Staff;Total Assets;Total Equity;GLP;NLP;Debt= Borrowings+Sub-debt;Total Customer Deposits (exc. Deposits from banks and Fis);CASA deposits;Total Paid-up Capital;Foreign Share;Cash;Gold;Deposits with NBC;Due from Banks;Deposits with, Loans and advances to, Banks;Loans and advances  to state enterprises;Loans and advances to private sector;Accrued interest receivable from Loans;Securities;Claims on goverment;Prepaid Expenses;Fixed assets;Other assets;Total Assets;Owed to NBC;Owed to Banks;Borrowed Funds (including subdebt);Demand deposits;Saving deposits ;Fixed deposits ;Accrued interest payable;Other deposits;Other liabilities;Total Liabilities;Paid up Capital;Reserves  ;Regulatory Resereve & other;Retained and Current Profit/Loss;Total Equity;Interest Income;Interest Expenses;Net Interest Income;Non Interest Income;Gross Operating Income;Operating Expenses (Excluded Depreciations);Depreciation;Bad & Doubtful Debts;Recoveries;Profit & Loss Before Tax;Profit Tax;Extra Gains or Losses;Net profit for 12 Months;Total Credit (Exc. Loans to Other banks and Fis);Agriculture, Forestry and Fishing;Mining and Quarrying;Manufacturing;Utilities;Construction;Wholesale Trade;Retail Trade;Accommodation and Food Service Activities;Transport and Storage;Information and Communications;Rental and Operational Leasing Activities;Real Estate Activities (include mortgage from 2024);Other Non-Financial Services ( including Education + Arts, Entertainment and creation);Personal Essentials (Exclude mortgage from 2024);Other Lending;Total Customer Deposits;Government;State Enterprise ;Business Enterprises;Individuals;Non-profit Organizations;Non- Resident;Others;Asset growth;Equity growth;GLP growth;Deposit growth;Debt (borrowings & sub-debt) growth;Int.income growth;Net int. income growth;Non-int. income growth;Ope growth;PBT growth;Net income growth;ROA;ROE;ROAA;ROAE;NIM;Portfolio Yield;CIR;NPL ratio;Net loan/GLP;Provision exp ratio;Loans per staff;Loans per branch;Loan to Agriculture;Loan to Construction;Loan to Real-estate;Loan to Hotel & Restaurants;Loan to Retail Trade;Loan to Wholesale Trade;Loans to personal essentials;Loans to manufacturing;Loans to others;Ope ratio;Ope per staff;CASA Ratio;Loan-deposit Ratio;Deposits with NBC/TA;D/E;A/E;Total Equity/Risky Assets;CASA/TL;FD/TL;Borrowings/TL;Owed to Banks & NBC/TL;Subdebt/TL;Other liab/TL;Avg. Funding Cost;Yield on Earnings Assets;Operating exp. Ratio;Funding exp. Ratio;Provision exp. Ratio;Yield margin
Bank for Investment and Development of Cambodia Plc.;BIDC;Commercial;2019;8;6;2;33;200;23,644;0;268;2,077,276;440,143;1,743,323;158,836;795,713;734,837;196,853;407,500;0.99;24,407;0;209,802;76,851;30,650;0;1,576,563;122,851;-5,584;0;93,224;223,040;-274,527;2,077,277;0;795,713;0;177,115;19,738;520,097;13,674;4,213;106,584;1,637,134;407,500;0;7,051;25,592;440,143;105,422;57,268;48,154;12,915;61,069;52,292;3,824;25,682;18,825;-1,904;1,382;-1,746;-5,032;1,743,323;312,854;0;171,252;22,024;74,632;164,541;186,131;21,807;82;0;0;89,789;0;635,030;65,180;734,837;0;1,227;389,289;310,108;0;34,213;0;0.13638;0.01162;0.09486;0.30826;0.03182;-0.21175;-0.12361;-0.29932;0.02816;-4.4808;;-0.00242;-0.01143;-0.00258;-0.0115;0.02684;0.06596;0.9189;0.09111;0.90434;0.0154;6,505;217,915;0.17946;0.04281;0.0515;0.01251;0.10677;0.09438;0.36426;0.09823;0.05007;0.03365;209.39;0.26789;2.37239;0.101;3.71955;4.71955;0.23881;0.12024;0.31769;0;0.48604;;0.07603;0.03786;0.06596;0.03128;0.03192;0.01431;-0.01155
Bank for Investment and Development of Cambodia Plc.;BIDC;Commercial;2020;7;6;1;33;200;24,715;0;264;2,047,264;428,359;1,707,739;183,584;679,089;806,000;183,864;404,500;0.985;32,555;0;231,761;43,100;22,276;0;1,535,872;134,698;-4,417;0;8,888;233,742;-191,210;2,047,265;0;679,089;0;170,271;13,593;604,507;15,372;2,257;133,817;1,618,906;404,500;0;6,999;16,860;428,359;114,104;53,688;60,416;13,185;73,601;73,292;3,657;8,921;7,316;-4,954;1,359;0;-6,314;1,707,739;263,602;0;178,528;22,998;41,208;197,466;164,141;23,989;321;0;0;130,747;0;624,633;60,105;806,000;0;88;413,080;356,681;0;36,151;0;-0.01445;-0.02677;-0.02041;0.09684;-0.14657;0.08235;0.25464;0.02091;0.37125;;;-0.00308;-0.01474;-0.00306;-0.01454;0.03251;0.06849;1.04549;0.1075;0.89936;0.00517;6,469;243,963;0.15436;0.02413;0.07656;0.01405;0.09612;0.11563;0.36577;0.10454;0.04885;0.04459;291.47;0.22812;2.11878;0.11321;3.77932;4.77932;0.24025;0.11357;0.3734;0;0.41947;;0.09355;0.03603;0.06849;0.04141;0.02889;0.0048;-0.0066
Bank for Investment and Development of Cambodia Plc.;BIDC;Commercial;2021;7;6;1;33;200;26,010;0;294;2,229,104;433,157;1,781,152;99,206;661,286;1,014,945;239,385;407,400;0.985;33,713;0;359,058;36,064;24,613;0;1,631,396;127,729;-4,451;0;9,388;233,908;-222,315;2,229,103;0;661,286;0;221,535;17,850;752,998;16,291;6,272;119,717;1,795,949;407,400;0;7,049;18,708;433,157;116,294;47,813;68,481;12,317;80,798;48,572;3,509;43,486;11,953;-2,816;1,421;-466;-4,703;1,781,152;277,732;0;103,986;13,585;46,445;195,848;139,599;28,233;28;0;0;165,663;0;702,472;107,560;1,014,945;0;5,462;720,369;285,870;0;3,243;0;0.08882;0.0112;0.04299;0.25924;-0.02622;0.01919;0.13349;-0.06583;-0.32318;;;-0.00211;-0.01086;-0.0022;-0.01092;0.03534;0.06638;0.64458;0.0557;0.91592;0.02493;6,058;254,450;0.15593;0.02608;0.09301;0.01585;0.07838;0.10996;0.39439;0.05838;0.06803;0.02986;177.15;0.23586;1.75492;0.16108;4.14618;5.14618;0.23588;0.13329;0.41928;0;0.36821;;0.07922;0.03064;0.06638;0.02688;0.02468;0.02244;-0.00762
Bank for Investment and Development of Cambodia Plc.;BIDC;Commercial;2022;7;6;1;33;200;29,640;0;294;2,437,143;427,029;1,924,140;16,256;870,354;1,040,673;229,201;411,700;0.985;31,968;0;298,774;32,641;159,776;0;1,780,683;132,361;-4,503;0;11,450;237,695;-243,702;2,437,143;0;870,354;0;222,991;6,210;791,705;18,612;1,156;99,086;2,010,114;411,700;0;7,123;8,206;427,029;128,826;58,915;69,911;16,439;86,350;54,175;5,685;41,870;7,298;-8,081;1,550;-246;-9,878;1,924,140;178,616;0;125,520;18,225;121,756;204,513;136,921;26,544;0;0;0;196,463;0;832,212;83,371;1,040,673;0;1,830;401,228;590,425;0;47,192;0;0.09333;-0.01415;0.08028;0.02535;0.31615;0.10776;0.02088;0.33466;0.14936;;;-0.00405;-0.02313;-0.00423;-0.02297;0.03241;0.06735;0.69323;0.00845;0.92544;0.0226;6,545;274,877;0.09283;0.06328;0.1021;0.0138;0.07116;0.10629;0.43251;0.06523;0.0528;0.03231;203.61;0.22024;1.84894;0.12259;4.70721;5.70721;0.20273;0.11402;0.39386;0;0.43299;;0.05913;0.03324;0.06735;0.02775;0.02731;0.01941;-0.00713
Bank for Investment and Development of Cambodia Plc.;BIDC;Commercial;2023;8;6;2;33;200;32,993;0;321;2,532,122;418,936;1,998,640;144,523;826,227;1,199,059;237,268;408,500;0.985;34,217;0;303,475;90,184;167,022;0;1,812,324;158,420;-4,465;0;9,372;232,080;-270,507;2,532,122;0;826,227;0;231,627;5,641;931,665;23,356;6,769;87,900;2,113,185;408,500;0;7,068;3,368;418,936;150,983;87,868;63,115;19,240;82,355;58,544;6,405;23,862;2,849;-3,607;1,772;604;-4,774;1,998,640;187,363;0;157,482;19,610;126,241;209,138;126,060;32,711;0;0;0;296,019;0;764,517;79,499;1,199,059;119,967;0;389,727;628,125;0;61,241;0;0.03897;-0.01895;0.03872;0.1522;-0.0507;0.17199;-0.09721;0.17039;0.08502;;;-0.00189;-0.0114;-0.00192;-0.01129;0.02723;0.07344;0.78865;0.07231;0.90678;0.01217;6,226;249,830;0.09375;0.06316;0.14811;0.01637;0.06307;0.10464;0.38252;0.07879;0.04959;0.03311;202.33;0.19788;1.66684;0.11985;5.04417;6.04417;0.19091;0.11228;0.44088;0;0.39099;;0.05585;0.04522;0.07344;0.02802;0.03791;0.01029;-0.00279
Bank for Investment and Development of Cambodia Plc.;BIDC;Commercial;2024;8;6;2;34;200;36,205;0;329;2,930,178;409,008;2,152,525;123,379;768,584;1,411,066;310,455;402,500;0.985;50,628;0;245,883;78,799;171,051;0;1,932,138;125,380;500;0;9,517;202,807;113,476;2,930,179;0;768,584;0;304,489;5,966;1,050,760;25,885;23,965;341,521;2,521,170;402,500;0;6,964;-456;409,008;158,664;90,468;68,196;19,880;88,076;61,377;6,944;23,541;3,341;-339;1,868;105;-2,207;2,152,525;215,533;0;168,098;23,029;150,632;193,407;105,905;44,112;40,391;0;0;482,430;0;648,501;80,489;1,411,066;131,695;0;571,006;646,777;0;61,588;0;0.1572;-0.0237;0.07699;0.17681;-0.06977;0.05087;0.0805;0.03326;0.05192;;;-0.00075;-0.0054;-0.00081;-0.00533;0.02843;0.07444;0.77571;0.05732;0.89761;0.01134;6,543;269,066;0.10013;0.06998;0.22412;0.02049;0.0492;0.08985;0.30127;0.07809;0.06685;0.03292;207.66;0.22001;1.52546;0.08391;6.16411;7.16411;0.1553;0.12314;0.41677;0;0.30485;;0.15523;0.04386;0.07444;0.02849;0.03772;0.00982;-0.00158
Bank of China (Hong Kong) Limited Phnom Penh Branch;BOC;Commercial;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bank of China (Hong Kong) Limited Phnom Penh Branch;BOC;Commercial;2011;1;1;0;0;0;0;0;52;833,832;54,214;24,626;0;126,685;549,437;271,585;60,585;1;12,873;0;379,679;57,520;353,023;0;24,618;8;0;0;820;3,791;1,500;833,832;0;86,011;40,674;185,015;86,570;41,318;413;236,121;103,496;779,618;60,585;0;0;-6,371;54,214;2,090;1,349;741;4,173;4,914;8,459;1,567;1,054;0;-6,166;-1,020;0;-5,146;24,626;0;0;5,447;0;0;14,954;0;0;0;0;0;0;4,225;0;0;549,437;0;0;426,862;89,138;0;33,437;0;;;;;;;;;;;;-0.00617;-0.09492;-0.00617;-0.09492;0.00091;0.00769;2.04029;0;0.99968;0.0428;474;24,626;0;0;0;0;0;0.60724;0;0.22119;0.17157;0.40713;192.81;0.4943;0.04482;0.45534;14.38038;15.38038;0.12286;0.34836;0.053;0.05217;0.11032;;0.43615;0.00307;0.00769;0.0123;0.00166;0.00129;-0.00757
Bank of China (Hong Kong) Limited Phnom Penh Branch;BOC;Commercial;2012;2;2;0;2;0;0;0;66;1,854,575;159,882;387,474;0;500,454;1,186,895;810,782;159,800;1;29,234;0;696,319;154,117;578,396;0;385,514;1,960;0;0;2,589;6,251;195;1,854,575;0;460,200;40,254;507,052;303,730;84,871;907;290,335;7,344;1,694,693;159,800;0;0;82;159,882;19,736;7,128;12,608;11,640;24,247;11,823;1,731;2,838;0;7,856;1,586;0;6,270;387,474;6,104;0;89,302;0;11,750;110,125;0;0;8,280;55,843;0;0;13,607;884;91,578;1,186,895;0;0;727,179;159,411;0;300,305;0;1.22416;1.94909;14.73435;1.1602;2.95038;8.44306;16.01484;1.78936;0.35189;;;0.00338;0.03922;0.00466;0.05857;0.00959;0.02387;0.559;0;0.99494;0.01377;5,871;193,737;0.01575;0.03032;0;0;0;0.28421;0.00228;0.23047;0.43696;0.06578;205.36;0.68311;0.32646;0.37546;10.59965;11.59965;0.14161;0.47842;0.05008;0.02375;0.27155;;0.17619;0.00777;0.02387;0.01031;0.00542;0.00216;0.00598
Bank of China (Hong Kong) Limited Phnom Penh Branch;BOC;Commercial;2013;2;2;0;2;0;0;0;77;1,712,462;177,018;945,803;0;193,396;1,307,114;1,198,137;159,800;1;59,474;0;430,812;160,172;107,987;0;939,399;6,228;0;0;2,793;5,334;266;1,712,462;0;153,446;39,950;985,200;212,937;98,937;971;9,069;34,935;1,535,444;159,800;0;0;17,218;177,018;42,857;12,299;30,558;16,355;46,912;17,695;1,772;5,671;0;21,775;4,359;0;17,416;945,803;24,198;0;542,807;0;6,772;81,488;1,397;7,422;6,420;36,116;0;0;15,524;2,045;221,616;1,307,114;0;0;919,440;227,364;0;160,310;0;-0.07663;0.10718;1.44095;0.10129;-0.61356;1.17151;1.4237;0.40507;0.43625;1.77177;1.77767;0.01017;0.09839;0.00976;0.10339;0.0177;0.0343;0.41497;0;0.99323;0.00851;12,283;472,902;0.02558;0.00716;0;0.00785;0.00148;0.08616;0.00216;0.57391;0.2957;0.0292;252.82;0.91663;0.72358;0.25157;8.67394;9.67394;0.14484;0.78032;0.06444;0.02602;0.09994;;0.02929;0.00852;0.0343;0.01128;0.00712;0.00328;0.01261
Bank of China (Hong Kong) Limited Phnom Penh Branch;BOC;Commercial;2014;3;3;0;3;0;8,811;0;92;2,612,900;212,512;981,172;2,067;448,150;1,922,837;1,576,031;163,000;1;160,924;0;797,409;234,970;431,527;0;974,057;5,774;0;0;617;6,667;956;2,612,900;0;407,400;40,750;848,036;727,995;326,317;1,527;18,962;29,400;2,400,388;163,000;0;0;49,512;212,512;53,399;13,376;40,022;23,260;63,282;18,397;1,986;2,125;0;40,774;8,701;0;32,073;981,172;52,019;0;418,940;0;37,275;90,994;1,424;53,797;7,765;43,955;32,878;0;14,098;2,595;225,431;1,922,837;0;0;1,447,324;150,711;0;324,802;0;0.52581;0.20051;0.0374;0.47106;1.31727;0.24598;0.30971;0.4222;0.04705;0.87251;0.84158;0.01227;0.15092;0.01483;0.16468;0.01964;0.03761;0.3221;0.00211;0.99275;0.00221;10,665;327,057;0.05302;0.03799;0;0.05483;0.00145;0.09274;0.00264;0.42698;0.33035;0.02116;221.55;0.81964;0.51027;0.30518;11.29531;12.29531;0.12844;0.65657;0.13594;0.01698;0.16972;;0.02078;0.00696;0.03761;0.01;0.00656;0.00104;0.02001
Bank of China (Hong Kong) Limited Phnom Penh Branch;BOC;Commercial;2015;3;3;0;5;9;12,558;0;89;2,921,683;413,836;1,161,844;3,035;247,459;2,214,289;1,539,086;324,000;1;95,516;0;937,540;276,563;438,937;0;1,152,305;7,288;0;0;1,285;5,436;6,813;2,921,683;0;206,959;40,500;997,213;541,873;661,169;2,746;11,288;46,099;2,507,847;324,000;0;0;89,836;413,836;67,108;19,404;47,704;34,275;81,980;24,067;2,479;3,910;0;51,524;10,896;0;40,628;1,161,844;11,257;0;441,125;0;22,728;169,972;3,326;49,869;18,966;34,042;71,804;82,589;25,468;6,506;224,193;2,214,289;0;0;1,511,913;476,732;0;225,644;0;0.11818;0.94735;0.18414;0.15157;-0.44782;0.25673;0.19194;0.47356;0.30236;0.26365;0.26674;0.01391;0.09817;0.01468;0.12973;0.0182;0.03867;0.32381;0.00261;0.99179;0.00365;13,054;387,281;0.00969;0.01956;0.07108;0.04292;0.00286;0.1463;0.0056;0.37968;0.32231;0.02477;298.27;0.69507;0.5247;0.32089;6.06;7.06;0.21912;0.61371;0.26364;0.01615;0.08252;;0.02398;0.00809;0.03867;0.01013;0.0074;0.00149;0.01965
Bank of China (Hong Kong) Limited Phnom Penh Branch;BOC;Commercial;2016;3;3;0;8;254;15,570;297;110;4,194,817;467,257;1,517,784;977;934,547;2,694,980;2,216,825;322,960;1;63,386;0;1,100,251;178,273;1,323,971;0;1,507,229;9,578;0;0;1,513;8,995;1,621;4,194,817;0;894,177;40,370;1,697,075;519,750;468,986;4,915;4,254;98,032;3,727,559;322,960;0;0;144,297;467,257;91,777;26,669;65,107;31,652;96,759;21,371;1,685;768;0;72,935;17,196;-1;55,739;1,517,783;11,724;0;509,627;0;116,695;203,395;3,872;49,688;15,303;12,918;155,050;82,459;49,204;6,986;300,862;2,694,980;0;0;1,834,783;536,935;0;323,262;0;0.43575;0.12909;0.30636;0.21709;2.77657;0.3676;0.36481;-0.07653;-0.13147;0.41555;0.37194;0.01329;0.11929;0.01566;0.12652;0.01883;0.0357;0.23828;0.00064;0.99305;0.00057;13,798;505,928;0.00772;0.07689;0.05433;0.03274;0.00255;0.13401;0.0046;0.33577;0.35139;0.01721;209.6;0.82258;0.56319;0.26229;7.97753;8.97754;0.15415;0.59471;0.12582;0.01083;0.23988;;0.02876;0.00879;0.0357;0.00667;0.00771;0.00022;0.02109
Bank of China (Hong Kong) Limited Phnom Penh Branch;BOC;Commercial;2017;5;3;2;7;357;20,740;341;131;4,900,776;814,586;1,752,288;0;686,827;3,336,776;2,755,809;605,550;1;72,213;0;1,411,155;343,995;1,300,979;0;1,741,952;10,334;0;0;1,710;11,599;6,838;4,900,776;0;654,531;32,296;2,160,808;595,001;569,606;6,313;5,046;62,588;4,086,190;605,550;0;0;209,036;814,586;104,646;29,680;74,966;44,028;118,994;34,588;2,370;1,029;0;81,008;18,009;0;62,998;1,752,288;107,719;0;479,166;0;230,577;179,112;3,736;70,491;20,756;9,401;134,302;105,835;59,765;9,217;342,210;3,336,776;0;0;2,294,436;719,124;0;323,215;0;0.16829;0.74334;0.1545;0.23814;-0.26507;0.14022;0.15143;0.391;0.60297;0.11069;0.13023;0.01285;0.07734;0.01385;0.09829;0.01683;0.03338;0.31059;0;0.9941;0.00063;13,376;350,458;0.06147;0.13159;0.0604;0.04023;0.00213;0.10222;0.00526;0.27345;0.32325;0.0226;282.12;0.82589;0.52514;0.28795;5.01628;6.01628;0.23836;0.67442;0.1394;0.0079;0.16018;;0.0181;0.00778;0.03338;0.0083;0.00666;0.00023;0.01819
Bank of China (Hong Kong) Limited Phnom Penh Branch;BOC;Commercial;2018;5;3;2;10;352;24,656;330;151;4,485,446;899,777;1,959,810;4,618;588,493;2,937,780;2,262,741;602,700;1;108,549;0;1,163,456;295,942;939,680;0;1,945,106;13,520;0;0;1,791;10,257;7,144;4,485,446;;588,493;0;1,679,260;583,481;657,848;7,186;10,005;59,396;3,585,669;602,700;0;0;297,077;899,777;139,221;32,731;106,489;49,622;156,112;33,835;3,416;5,263;;113,598;25,508;;88,090;1,959,810;100,235;;460,592;1,200;263,081;178,060;1,696;114,436;26,922;28,759;115,418;358,784;54,565;7,027;249,035;2,937,780;;;1,744,580;745,770;;447,429;;-0.08475;0.10458;0.11843;-0.11958;-0.14317;0.3304;0.4205;0.12706;0.00793;0.40231;0.3983;0.01964;0.0979;0.01877;0.10277;0.0233;0.04131;0.23862;0.00236;0.9925;0.00284;12,979;391,962;0.05115;0.13424;0.18307;0.05839;0.00087;0.09086;0.00359;0.23502;0.24283;0.02007;246.7;0.77022;0.66711;0.25938;3.98506;4.98506;0.28;0.63105;0.18347;0;;;0.18548;0.00816;0.04131;0.00815;0.00716;0.00115;0.02485
Bank of China (Hong Kong) Limited Phnom Penh Branch;BOC;Commercial;2019;5;3;2;10;467;26,953;297;174;4,606,716;994,917;2,215,920;5,228;263,645;3,206,435;2,447,372;611,250;1;139,981;0;1,154,287;138,049;927,552;0;2,199,102;14,861;0;0;12,009;7,726;13,150;4,606,717;0;263,645;0;1,957,910;489,462;740,374;7,428;11,261;141,720;3,611,800;611,250;0;0;383,667;994,917;152,331;31,187;121,145;46,732;167,877;34,544;3,607;19,671;0;110,054;24,442;0;85,612;2,215,920;97,604;0;267,256;26,192;290,662;166,751;1,592;101,560;9,333;142,169;91,469;482,222;42,856;6,564;489,691;3,206,435;0;0;2,135,074;750,787;0;320,574;0;0.02704;0.10574;0.13068;0.09145;-0.552;0.09417;0.13763;-0.05824;0.02416;-0.0312;-0.02813;0.01858;0.08605;0.01883;0.09037;0.02765;0.04543;0.22726;0.00236;0.99241;0.00942;12,735;443,184;0.04405;0.13117;0.21762;0.04583;0.00072;0.07525;0.00296;0.12061;0.3618;0.01827;219.26;0.76327;0.69109;0.25057;3.63025;4.63025;0.30036;0.6776;0.20499;0;0.073;;0.04441;0.00904;0.04543;0.00871;0.00712;0.00449;0.02512
Bank of China (Hong Kong) Limited Phnom Penh Branch;BOC;Commercial;2020;5;3;2;11;314;30,124;277;191;5,048,011;1,065,239;2,226,993;3,886;330,618;3,555,450;2,387,113;606,750;1;145,581;0;1,809,022;180,516;655,579;0;2,210,278;12,839;0;0;15,510;6,617;12,069;5,048,011;0;330,618;0;1,953,474;433,639;1,144,091;9,291;14,955;96,704;3,982,772;606,750;0;0;458,489;1,065,239;132,763;30,853;101,910;30,111;132,021;42,344;3,328;-10,669;0;97,017;18,247;0;78,770;2,226,992;5,493;0;266,118;450,754;511,392;114,815;1,446;94,838;8,832;141,376;113,457;449,034;34,584;6,528;28,327;3,555,450;0;0;2,565,576;684,510;0;305,363;0;0.09579;0.07068;0.005;0.10885;0.25403;-0.12846;-0.15878;-0.35567;0.19714;-0.11846;-0.07992;0.0156;0.07395;0.01632;0.07647;0.02198;0.03512;0.34594;0.00174;0.99249;-0.0048;11,660;445,399;0.00247;0.22963;0.20163;0.04259;0.00065;0.05156;0.00293;0.1195;0.34905;0.02056;239.12;0.6714;0.62636;0.35836;3.73885;4.73885;0.34436;0.59936;0.28726;0;0.08301;;0.03037;0.00844;0.03512;0.00985;0.00665;-0.0023;0.02092
Bank of China (Hong Kong) Limited Phnom Penh Branch;BOC;Commercial;2021;5;3;2;11;269;34,538;261;200;6,044,549;1,138,083;2,437,667;3,101;959,502;3,840,962;3,198,390;611,100;1;95,580;0;1,896,461;133,875;1,456,915;0;2,421,123;9,249;0;0;12,974;4,504;13,869;6,044,550;0;959,502;0;2,671,217;527,173;552,079;8,392;82,100;106,003;4,906,466;611,100;0;0;526,983;1,138,083;141,631;31,461;110,171;38,218;148,389;44,776;3,425;3,895;0;96,294;17,380;0;78,913;2,437,667;5,340;0;284,596;543,401;612,346;128,779;29,532;102,027;17,011;140,393;106,821;262,477;24,021;22,345;158,580;3,840,962;0;0;2,839,098;620,139;0;381,725;0;0.19741;0.06838;0.0946;0.0803;1.90215;0.0668;0.08106;0.26924;0.05537;-0.00745;0.00182;0.01306;0.06934;0.01423;0.07163;0.02047;0.03342;0.32483;0.00127;0.99321;0.00167;12,188;487,533;0.00219;0.2512;0.10768;0.04185;0.01211;0.05283;0.00917;0.11675;0.40622;0.02067;241.01;0.83271;0.63465;0.31375;4.31117;5.31117;0.28083;0.65187;0.11252;0;0.19556;;0.04005;0.00734;0.03342;0.00896;0.00585;0.00072;0.01789
Bank of China (Hong Kong) Limited Phnom Penh Branch;BOC;Commercial;2022;5;3;2;12;275;42,312;343;210;7,449,326;1,240,711;2,789,689;128,959;2,275,808;3,811,231;3,148,027;617,550;1;108,525;0;2,164,962;349,935;2,026,457;0;2,745,546;15,045;0;0;16,447;6,984;15,424;7,449,325;0;2,275,808;0;2,575,658;572,369;629,249;9,364;24,591;121,576;6,208,615;617,550;0;0;623,161;1,240,711;200,936;46,712;154,224;50,408;204,632;49,827;3,693;17,481;0;133,630;25,932;0;107,699;2,789,689;40,411;0;605,518;147,680;703,855;493,533;141;152,916;10,407;0;396,099;42,863;65,040;117,215;14,011;3,811,231;0;0;2,746,857;620,812;0;443,562;0;0.2324;0.09018;0.14441;-0.00774;1.37186;0.41873;0.39986;0.31896;0.11035;0.38773;0.36478;0.01446;0.0868;0.01596;0.09055;0.02338;0.0381;0.26154;0.04623;0.98418;0.00669;13,284;557,938;0.01449;0.25231;0.01536;0.05481;0.00005;0.17691;0.04202;0.21706;0.22699;0.02048;254.86;0.82599;0.73197;0.29063;5.00408;6.00408;0.23971;0.50704;0.10135;0;0.36656;;0.02505;0.00868;0.0381;0.00811;0.00708;0.00265;0.02025
Bank of China (Hong Kong) Limited Phnom Penh Branch;BOC;Commercial;2023;5;3;2;13;311;48,521;405;217;8,787,140;1,323,862;3,113,342;85,842;3,347,308;3,956,460;3,031,934;612,750;1;96,700;0;1,488,442;2,471,989;1,664,813;0;3,022,495;11,487;0;0;13,050;6,047;12,117;8,787,140;0;3,347,308;0;2,522,281;509,653;874,231;12,868;37,426;159,511;7,463,278;612,750;0;0;711,112;1,323,862;298,284;90,773;207,511;49,497;257,008;55,464;2,784;61,758;0;137,002;33,892;0;103,110;3,113,342;42,941;0;737,839;444,259;979,421;189,783;19,808;58,253;21,256;49,325;32,223;289,964;1,201;193,949;53,120;3,956,460;204;0;2,857,838;596,744;0;501,674;0;0.17959;0.06702;0.11602;0.03811;0.47082;0.48447;0.34552;-0.01807;0.08834;0.02523;-0.04261;0.01173;0.07789;0.0127;0.08041;0.02605;0.04365;0.22664;0.02757;0.97082;0.02092;14,347;622,668;0.01379;0.31459;0.09314;0.01871;0.00636;0.06096;0.0623;0.23699;0.19316;0.01973;268.42;0.76632;0.7869;0.16939;5.6375;6.6375;0.18382;0.40625;0.11714;0;0.4485;;0.02811;0.01364;0.04365;0.00731;0.01139;0.00775;0.0172
Bank of China (Hong Kong) Limited Phnom Penh Branch;BOC;Commercial;2024;5;3;2;13;322;54,310;414;220;8,806,661;1,478,281;3,185,482;63,121;3,201,722;3,988,903;2,935,670;603,750;1;86,448;0;1,738,589;256,025;2,441,905;0;3,053,930;10,029;0;1,181,380;3,382;13,189;21,784;8,806,661;0;562,249;2,639,473;2,463,824;471,846;1,018,753;14,248;20,231;137,755;7,328,379;603,750;0;1,637;872,894;1,478,281;327,285;104,941;222,344;47,249;269,593;54,291;2,928;22,947;0;189,620;39,716;193;149,903;3,185,482;48,008;0;597,182;667,333;889,580;208,609;45,000;51,374;18,578;32,469;26,010;559,784;0;2,724;38,832;3,988,903;201;260,190;2,661,047;598,745;0;468,720;0;0.00222;0.11664;0.02317;0.0082;-0.04349;0.09723;0.07148;-0.04542;-0.01767;0.38407;0.45382;0.01702;0.1014;0.01704;0.10699;0.02568;0.04325;0.21224;0.01982;0.9587;0.00729;14,479;637,096;0.01507;0.27926;0.17573;0.01613;0.01413;0.06549;0.00086;0.18747;0.24587;0.01817;260.09;0.73596;0.79859;0.19742;4.95737;5.95737;0.21174;0.40059;0.13901;0.36017;0.07672;;0.0235;0.01457;0.04325;0.00661;0.01212;0.00265;0.02187
Bank of India PP Branch>> not exist since 2020;BIPP;Commercial;2010;;;;0;0;0;0;9;55,778;51,367;5,757;0;;4,137;2,946;52,689;1;439;0;23,144;2,508;23,587;0;5,739;18;0;0;0;283;61;55,778;0;0;0;1,283;1,663;1,168;24;0;274;4,411;52,689;0;0;-1,322;51,367;779;44;736;158;894;1,346;14;166;0;-632;9;0;-642;5,756;0;0;884;199;2,417;1,588;0;0;0;0;0;0;0;669;0;4,137;981;0;90;3,048;0;18;0;;;;;;;;;;;;-0.01151;-0.0125;;;;;1.52125;0;0.99687;;640;;0;0.41984;0;0;0;0.27584;0.11621;0.15355;0.03457;;151.11;0.71211;1.39159;0.41493;0.08587;1.08587;1.5955;0.66788;0.26479;0;;;0.06733;;;;;;
