Date;AAA;AA;A;BBB;BB;B;CCC
2025-06-04;0.33;0.48;0.74;1.12;1.87;3.37;9.3
2025-06-03;0.32;0.48;0.74;1.12;1.84;3.33;9.16
2025-06-02;0.33;0.49;0.76;1.15;1.92;3.4;9.22
2025-05-31;0.34;0.5;0.77;1.16;1.97;3.51;9.13
2025-05-30;0.37;0.49;0.76;1.15;1.97;3.49;8.96
2025-05-29;0.36;0.48;0.75;1.14;1.91;3.39;8.84
2025-05-28;0.36;0.48;0.75;1.14;1.9;3.42;8.84
2025-05-27;0.36;0.49;0.75;1.15;1.91;3.39;8.92
2025-05-26;0.37;0.5;0.77;1.18;2.05;3.57;9.14
2025-05-23;0.37;0.5;0.77;1.18;2.05;3.57;9.14
2025-05-22;0.36;0.49;0.76;1.16;1.99;3.47;9.02
2025-05-21;0.36;0.49;0.75;1.15;1.93;3.41;8.92
2025-05-20;0.36;0.48;0.75;1.15;1.89;3.34;8.84
2025-05-19;0.36;0.49;0.76;1.16;1.9;3.36;8.86
2025-05-16;0.37;0.5;0.77;1.17;1.87;3.3;8.79
2025-05-15;0.37;0.5;0.78;1.19;1.91;3.33;8.79
2025-05-14;0.37;0.5;0.77;1.18;1.82;3.23;8.65
2025-05-13;0.37;0.5;0.78;1.19;1.79;3.22;8.74
2025-05-12;0.39;0.52;0.8;1.22;1.85;3.29;8.79
2025-05-09;0.41;0.56;0.84;1.29;2.18;3.71;9.33
2025-05-08;0.41;0.56;0.84;1.29;2.15;3.7;9.34
2025-05-07;0.43;0.58;0.87;1.32;2.3;3.83;9.6
2025-05-06;0.43;0.59;0.87;1.33;2.3;3.81;9.56
2025-05-05;0.43;0.58;0.87;1.33;2.23;3.77;9.5
2025-05-02;0.44;0.59;0.88;1.34;2.23;3.77;9.56
2025-05-01;0.46;0.61;0.91;1.38;2.4;3.95;9.76
2025-04-30;0.46;0.61;0.9;1.37;2.54;4.11;10.0
2025-04-29;0.44;0.59;0.87;1.33;2.39;3.85;9.76
2025-04-28;0.42;0.57;0.86;1.31;2.39;3.82;9.79
2025-04-25;0.42;0.57;0.86;1.31;2.33;3.78;9.75
2025-04-24;0.43;0.59;0.88;1.33;2.36;3.85;9.85
2025-04-23;0.44;0.6;0.9;1.35;2.37;3.88;9.87
2025-04-22;0.46;0.62;0.93;1.39;2.56;4.16;10.35
2025-04-21;0.46;0.62;0.94;1.4;2.7;4.34;10.58
2025-04-18;nan;nan;nan;nan;nan;nan;nan
2025-04-17;0.45;0.62;0.93;1.39;2.58;4.17;10.39
2025-04-16;0.47;0.63;0.95;1.41;2.7;4.33;10.61
2025-04-15;0.47;0.64;0.95;1.42;2.65;4.25;10.5
2025-04-14;0.48;0.65;0.96;1.43;2.7;4.31;10.57
2025-04-11;0.51;0.68;0.99;1.46;2.78;4.46;10.76
2025-04-10;0.52;0.68;0.99;1.46;2.92;4.64;10.92
2025-04-09;0.57;0.73;1.02;1.49;2.87;4.57;10.9
2025-04-08;0.56;0.7;1.0;1.46;3.04;4.83;11.14
2025-04-07;0.59;0.73;1.02;1.48;3.06;4.86;11.37
2025-04-04;0.56;0.7;0.97;1.41;2.94;4.69;10.99
2025-04-03;0.5;0.63;0.89;1.3;2.6;4.21;10.18
2025-04-02;0.44;0.56;0.81;1.19;2.12;3.53;9.25
2025-04-01;0.45;0.57;0.82;1.21;2.2;3.62;9.25
2025-03-31;0.44;0.56;0.81;1.2;2.24;3.68;9.28
2025-03-28;0.42;0.54;0.79;1.17;2.21;3.6;8.88
2025-03-27;0.4;0.52;0.77;1.14;2.05;3.35;8.6
2025-03-26;0.4;0.52;0.76;1.13;1.98;3.26;8.5
2025-03-25;0.4;0.51;0.75;1.12;1.89;3.14;8.38
2025-03-24;0.39;0.52;0.76;1.12;1.85;3.1;8.37
2025-03-21;0.4;0.53;0.77;1.14;1.99;3.28;8.6
2025-03-20;0.4;0.52;0.76;1.13;1.95;3.23;8.53
2025-03-19;0.4;0.52;0.76;1.13;1.96;3.27;8.56
2025-03-18;0.41;0.54;0.78;1.15;2.01;3.3;8.58
2025-03-17;0.42;0.54;0.79;1.15;1.98;3.26;8.46
2025-03-14;0.43;0.55;0.8;1.16;2.04;3.33;8.56
2025-03-13;0.45;0.58;0.83;1.2;2.17;3.5;8.72
2025-03-12;0.45;0.57;0.81;1.17;2.02;3.26;8.41
2025-03-11;0.44;0.55;0.8;1.16;2.04;3.27;8.4
2025-03-10;0.42;0.53;0.77;1.13;2.02;3.18;8.26
